,datetime,time,method,path,event
0,2020-04-29 20:12:04.379553,1588171324.3795688,IN_OPEN,/home/devashish/Documents/projects/PythonHostIDS/test,IN_OPEN|IN_ISDIR
1,2020-04-29 20:12:04.384981,1588171324.384991,IN_ACCESS,/home/devashish/Documents/projects/PythonHostIDS/test,IN_ACCESS|IN_ISDIR
2,2020-04-29 20:12:04.385283,1588171324.3852909,IN_CLOSE_NOWRITE,/home/devashish/Documents/projects/PythonHostIDS/test,IN_CLOSE_NOWRITE|IN_ISDIR
3,2020-04-29 20:12:04.388024,1588171324.388044,IN_CREATE,/home/devashish/Documents/projects/PythonHostIDS/test/newfile.txt,IN_CREATE
4,2020-04-29 20:12:04.388276,1588171324.388284,IN_OPEN,/home/devashish/Documents/projects/PythonHostIDS/test/newfile.txt,IN_OPEN
5,2020-04-29 20:12:04.388422,1588171324.388428,IN_ATTRIB,/home/devashish/Documents/projects/PythonHostIDS/test/newfile.txt,IN_ATTRIB
6,2020-04-29 20:12:04.388562,1588171324.3885698,IN_CLOSE_WRITE,/home/devashish/Documents/projects/PythonHostIDS/test/newfile.txt,IN_CLOSE_WRITE
7,2020-04-29 20:12:04.389013,1588171324.3890224,IN_OPEN,/home/devashish/Documents/projects/PythonHostIDS/test,IN_OPEN|IN_ISDIR
8,2020-04-29 20:12:04.389174,1588171324.3891819,IN_ACCESS,/home/devashish/Documents/projects/PythonHostIDS/test,IN_ACCESS|IN_ISDIR
9,2020-04-29 20:12:04.389311,1588171324.3893182,IN_CLOSE_NOWRITE,/home/devashish/Documents/projects/PythonHostIDS/test,IN_CLOSE_NOWRITE|IN_ISDIR
10,2020-04-29 20:12:04.389451,1588171324.3894582,IN_OPEN,/home/devashish/Documents/projects/PythonHostIDS/test,IN_OPEN|IN_ISDIR
11,2020-04-29 20:12:04.389623,1588171324.3896298,IN_ACCESS,/home/devashish/Documents/projects/PythonHostIDS/test,IN_ACCESS|IN_ISDIR
12,2020-04-29 20:12:04.389772,1588171324.38978,IN_CLOSE_NOWRITE,/home/devashish/Documents/projects/PythonHostIDS/test,IN_CLOSE_NOWRITE|IN_ISDIR
